run_key,status,scenario,row_arm,seed,budget_multiplier,requested_model_evaluations,model_evaluations,coalition_policy,shap_mse,shap_relative_l2_error,full_kernel_loss,full_kernel_excess_loss,efficiency_residual,condition_number,explanation_drift_vs_full_rows,downstream_rmse,row_gram_relative_error,row_budget_exact,runtime_seconds
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=2|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,2.0,20,20,kernel_weight,2.247529351083999,0.13465968069816298,30.352954406060874,2.2475293510839975,7.105427357601002e-15,2.6648321618155504e+16,0.0,58.21882720400902,0.0,True,0.006842599999799859
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=2|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,2.0,20,20,leverage,2.407598332219727,0.13937244254238498,30.513023387196622,2.407598332219745,4.263256414560601e-14,2.9650836513508044e+16,0.0,58.21882720400902,0.0,True,0.0069251999993866775
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=4|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,4.0,40,40,kernel_weight,1.381247202999839,0.10556515753458794,29.486672257976714,1.3812472029998375,7.105427357601002e-15,4.415480744117997e+16,0.0,58.21882720400902,0.0,True,0.007337399998505134
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=4|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,4.0,40,40,leverage,2.176020101789715,0.13250014265127416,30.2814451567666,2.1760201017897245,2.1316282072803006e-14,8.611074083412302e+17,0.0,58.21882720400902,0.0,True,0.007556900000054156
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=8|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,8.0,80,80,kernel_weight,0.8013505395559062,0.08040742627059683,28.906775594532782,0.8013505395559051,0.0,1.2033374841429522e+17,0.0,58.21882720400902,0.0,True,0.007879000000684755
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=8|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,8.0,80,80,leverage,1.0821119533722179,0.09343745300070516,29.187537008349093,1.082111953372216,0.0,7.553981870710318e+16,0.0,58.21882720400902,0.0,True,0.00974309999946854
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=16|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,16.0,160,160,kernel_weight,0.3050427667550857,0.049609546844760044,28.410467821731963,0.30504276675508635,0.0,1.689774388376495e+16,0.0,58.21882720400902,0.0,True,0.008640500000183238
diabetes_hist_gradient_boosting|D0_full_rows|seed=151|budget=16|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,151,16.0,160,160,leverage,0.11624508922988579,0.03062472530802536,28.22167014420676,0.11624508922988497,0.0,1.0401889207406676e+16,0.0,58.21882720400902,0.0,True,0.009688799997093156
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=151|budget=2|kernel_weight,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,151,2.0,20,20,kernel_weight,0.02040335203618416,0.006648010566906268,12.359285676173247,0.02040335203604471,5.684341886080802e-14,2.6648321618155504e+16,1.6752458528580698,61.043156765673544,0.187322036758069,True,0.009220200001436751
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=151|budget=2|leverage,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,151,2.0,20,20,leverage,28.01466785816283,0.2463392861410934,40.353550182300296,28.014667858163094,1.4210854715202004e-13,2.9650836513508044e+16,1.6752458528580698,61.043156765673544,0.187322036758069,True,0.006909200001246063
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=151|budget=4|kernel_weight,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,151,4.0,40,40,kernel_weight,0.007134394330124222,0.00393114890617838,12.346016718467311,0.007134394330108762,0.0,4.415480744117997e+16,1.6752458528580698,61.043156765673544,0.187322036758069,True,0.006956799999898067
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=151|budget=4|leverage,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,151,4.0,40,40,leverage,0.012902640215384639,0.005286646033993603,12.351784964352408,0.012902640215205707,8.526512829121202e-14,8.611074083412302e+17,1.6752458528580698,61.043156765673544,0.187322036758069,True,0.008034300000872463
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=151|budget=8|kernel_weight,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,151,8.0,80,80,kernel_weight,0.0013694812803448934,0.0017223404040505317,12.340251805417491,0.001369481280288909,2.842170943040401e-14,1.2033374841429522e+17,1.6752458528580698,61.043156765673544,0.187322036758069,True,0.007703499999479391
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=151|budget=8|leverage,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,151,8.0,80,80,leverage,0.002842034962075287,0.0024811650085255735,12.341724359099253,0.002842034962050377,0.0,7.553981870710318e+16,1.6752458528580698,61.043156765673544,0.187322036758069,True,0.010101700001541758
